#options: 480x854 fps=30/1 timebase=1/30 bitdepth=8 cabac=1 ref=1 deblock=1:0:0 analyse=0x1:0 me=dia subme=2 psy=1 psy_rd=1.00:0.00 mixed_ref=0 me_range=16 chroma_me=1 trellis=0 8x8dct=0 cqm=0 deadzone=21,11 fast_pskip=1 chroma_qp_offset=0 threads=12 lookahead_threads=4 sliced_threads=0 nr=0 decimate=1 interlaced=0 bluray_compat=0 constrained_intra=0 bframes=3 b_pyramid=2 b_adapt=1 b_bias=0 direct=1 weightb=1 open_gop=0 weightp=2 keyint=250 keyint_min=25 scenecut=40 intra_refresh=0 rc_lookahead=40 rc=abr mbtree=1 bitrate=1163 ratetol=1.0 qcomp=0.60 qpmin=0 qpmax=69 qpstep=4 ip_ratio=1.40 aq=1:1.00
in:0 out:0 type:I dur:2 cpbdur:2 q:31.21 aq:21.40 tex:83675 mv:32264 misc:173 imb:1620 pmb:0 smb:0 d:- ref:;
in:4 out:1 type:P dur:2 cpbdur:2 q:31.70 aq:24.53 tex:21954 mv:4589 misc:1041 imb:45 pmb:540 smb:1035 d:- ref:0 ;
in:2 out:2 type:B dur:2 cpbdur:2 q:31.70 aq:25.29 tex:2414 mv:1923 misc:751 imb:0 pmb:214 smb:1406 d:- ref:0 ;
in:1 out:3 type:b dur:2 cpbdur:2 q:31.70 aq:27.77 tex:131 mv:122 misc:435 imb:0 pmb:65 smb:1555 d:- ref:0 ;
in:3 out:4 type:b dur:2 cpbdur:2 q:31.70 aq:27.25 tex:2264 mv:2032 misc:648 imb:1 pmb:167 smb:1452 d:- ref:0 ;
in:6 out:5 type:P dur:2 cpbdur:2 q:31.42 aq:22.71 tex:28322 mv:6805 misc:1441 imb:128 pmb:753 smb:739 d:- ref:0 ;
in:5 out:6 type:b dur:2 cpbdur:2 q:31.56 aq:28.47 tex:1822 mv:2193 misc:777 imb:1 pmb:207 smb:1412 d:- ref:0 ;
in:10 out:7 type:P dur:2 cpbdur:2 q:31.39 aq:24.13 tex:21319 mv:6500 misc:1165 imb:68 pmb:833 smb:719 d:- ref:0 ;
in:8 out:8 type:B dur:2 cpbdur:2 q:31.41 aq:27.24 tex:1202 mv:2083 misc:931 imb:1 pmb:230 smb:1389 d:- ref:0 ;
in:7 out:9 type:b dur:2 cpbdur:2 q:31.41 aq:24.37 tex:159 mv:451 misc:694 imb:0 pmb:130 smb:1490 d:- ref:0 ;
in:9 out:10 type:b dur:2 cpbdur:2 q:31.40 aq:32.27 tex:380 mv:946 misc:578 imb:0 pmb:99 smb:1521 d:- ref:0 ;
in:14 out:11 type:P dur:2 cpbdur:2 q:31.10 aq:23.00 tex:26451 mv:7587 misc:1410 imb:151 pmb:775 smb:694 d:- ref:0 ;
in:12 out:12 type:B dur:2 cpbdur:2 q:31.25 aq:28.94 tex:3079 mv:2610 misc:943 imb:1 pmb:284 smb:1335 d:- ref:0 ;
in:11 out:13 type:b dur:2 cpbdur:2 q:31.32 aq:25.91 tex:145 mv:434 misc:821 imb:0 pmb:186 smb:1434 d:- ref:0 ;
in:13 out:14 type:b dur:2 cpbdur:2 q:31.17 aq:31.17 tex:2707 mv:2469 misc:816 imb:2 pmb:210 smb:1408 d:- ref:0 ;
in:15 out:15 type:P dur:2 cpbdur:2 q:30.38 aq:21.61 tex:27429 mv:6730 misc:1417 imb:146 pmb:802 smb:672 d:- ref:0 ;
in:16 out:16 type:P dur:2 cpbdur:2 q:28.95 aq:20.97 tex:12270 mv:1883 misc:1551 imb:47 pmb:496 smb:1077 d:- ref:0 ;
in:18 out:17 type:P dur:2 cpbdur:2 q:28.97 aq:19.75 tex:37275 mv:8830 misc:1327 imb:175 pmb:987 smb:458 d:- ref:0 ;
in:17 out:18 type:b dur:2 cpbdur:2 q:28.96 aq:27.74 tex:2940 mv:2658 misc:946 imb:2 pmb:278 smb:1340 d:- ref:0 ;
in:22 out:19 type:P dur:2 cpbdur:2 q:27.80 aq:18.41 tex:56097 mv:9262 misc:1209 imb:202 pmb:988 smb:430 d:- ref:0 ;
in:20 out:20 type:B dur:2 cpbdur:2 q:28.38 aq:25.50 tex:7845 mv:4575 misc:1172 imb:4 pmb:439 smb:1177 d:- ref:0 ;
in:19 out:21 type:b dur:2 cpbdur:2 q:28.68 aq:26.34 tex:162 mv:334 misc:760 imb:0 pmb:170 smb:1450 d:- ref:0 ;
in:21 out:22 type:b dur:2 cpbdur:2 q:28.09 aq:26.90 tex:5695 mv:3059 misc:862 imb:3 pmb:259 smb:1358 d:- ref:0 ;
in:25 out:23 type:P dur:2 cpbdur:2 q:25.44 aq:16.01 tex:96810 mv:9161 misc:1045 imb:141 pmb:1096 smb:383 d:- ref:0 ;
in:23 out:24 type:B dur:2 cpbdur:2 q:27.01 aq:24.72 tex:10948 mv:4303 misc:981 imb:5 pmb:341 smb:1274 d:- ref:0 ;
in:24 out:25 type:b dur:2 cpbdur:2 q:26.23 aq:23.95 tex:6968 mv:3023 misc:777 imb:4 pmb:263 smb:1353 d:- ref:0 ;
in:29 out:26 type:P dur:2 cpbdur:2 q:23.89 aq:15.34 tex:85981 mv:6827 misc:920 imb:68 pmb:1018 smb:534 d:- ref:0 ;
in:27 out:27 type:B dur:2 cpbdur:2 q:24.67 aq:20.41 tex:9685 mv:3573 misc:1190 imb:2 pmb:457 smb:1161 d:- ref:0 ;
in:26 out:28 type:b dur:2 cpbdur:2 q:25.06 aq:21.07 tex:481 mv:368 misc:783 imb:0 pmb:141 smb:1479 d:- ref:0 ;
in:28 out:29 type:b dur:2 cpbdur:2 q:24.28 aq:21.34 tex:3406 mv:2076 misc:1142 imb:0 pmb:298 smb:1322 d:- ref:0 ;
in:33 out:30 type:P dur:2 cpbdur:2 q:23.91 aq:13.90 tex:113068 mv:9736 misc:572 imb:246 pmb:1299 smb:75 d:- ref:0 ;
in:31 out:31 type:B dur:2 cpbdur:2 q:23.90 aq:19.41 tex:11424 mv:5164 misc:1484 imb:2 pmb:689 smb:929 d:- ref:0 ;
in:30 out:32 type:b dur:2 cpbdur:2 q:23.90 aq:18.81 tex:814 mv:725 misc:1093 imb:0 pmb:247 smb:1373 d:- ref:0 ;
in:32 out:33 type:b dur:2 cpbdur:2 q:23.90 aq:22.14 tex:5107 mv:1943 misc:918 imb:1 pmb:256 smb:1363 d:- ref:0 ;
in:37 out:34 type:P dur:2 cpbdur:2 q:23.88 aq:14.66 tex:75022 mv:6597 misc:1053 imb:47 pmb:1030 smb:543 d:- ref:0 ;
in:35 out:35 type:B dur:2 cpbdur:2 q:23.89 aq:19.28 tex:14716 mv:4224 misc:1260 imb:0 pmb:558 smb:1062 d:- ref:0 ;
